Vibration(mm/s),Temperature(°C),FlowRate(LPM),RPM,Lubrication_Level(%),Pressure(bar),Failure
3.16,50.5,607.68,1680.42,80.81,3.82,0
2.49,64.03,573.1,1174.22,87.59,5.56,0
1.58,55.99,267.97,1581.84,92.16,4.39,0
1.79,50.07,283.03,1433.3,84.85,7.18,0
2.4,49.93,501.94,1448.55,92.81,6.36,0
1.21,47.99,564.56,1487.12,68.43,3.28,0
4.18,43.4,380.58,1494.86,82.67,5.76,0
2.76,38.62,402.52,1577.97,76.52,4.79,0
2.5,56.99,404.12,1574.97,83.81,0.32,0
1.15,62.75,579.67,1288.8,74.22,4.48,0
1.59,58.97,602.94,1439.91,78.69,7.47,0
1.25,27.94,474.72,1280.34,99.92,4.81,0
2.29,43.95,381.69,1453.16,100.36,5.43,0
2.9,53.98,573.92,1464.57,93.77,3.04,0
2.53,39.0,605.39,1443.78,91.88,5.27,0
2.06,55.11,565.95,1736.8,82.44,7.35,0
2.71,59.02,458.06,1573.96,89.94,8.9,0
2.63,57.79,528.58,1719.5,68.46,2.47,0
3.35,50.16,642.73,1441.24,85.7,3.43,0
2.93,54.58,415.48,1321.98,84.97,3.5,0
1.48,46.29,426.1,1363.23,85.71,3.95,0
1.39,39.1,473.73,1479.26,86.06,3.71,0
2.16,43.48,429.21,1398.68,80.14,4.31,0
0.71,41.52,360.46,1524.83,86.82,4.38,0
2.77,49.94,496.61,1303.25,84.0,5.58,0
1.9,68.09,550.7,1617.5,58.08,9.27,0
1.74,64.02,366.69,1804.81,91.42,4.2,0
2.66,39.08,542.07,1532.94,71.33,6.27,0
4.46,39.67,294.96,1850.04,79.17,5.85,0
3.52,46.13,442.21,1309.51,79.7,2.95,0
1.8,56.96,588.11,1615.93,84.87,6.22,0
1.8,60.72,373.6,1186.86,89.11,6.55,0
1.29,47.06,539.54,1488.59,81.44,5.76,0
3.09,53.11,526.43,1349.73,76.76,6.57,0
1.78,52.97,473.44,1250.13,98.48,8.74,0
1.54,45.21,482.97,1555.38,84.21,7.47,0
1.58,45.57,290.97,1394.83,95.32,7.19,0
2.61,56.98,434.93,1584.72,84.48,6.62,0
1.97,56.79,617.34,1374.36,75.03,4.93,0
1.38,49.66,455.15,1470.71,83.83,3.46,0
3.5,58.2,449.88,1134.31,72.37,6.14,0
2.33,52.53,544.74,1403.66,77.0,5.76,0
3.08,43.68,641.42,1352.22,68.93,2.84,0
1.26,41.96,530.52,1636.52,79.35,3.57,0
2.61,56.3,666.37,1501.44,87.82,4.68,0
2.3,56.23,629.27,1426.53,67.87,4.58,0
1.64,38.69,635.11,1533.81,71.62,4.92,0
1.22,42.42,462.44,1758.98,63.29,3.39,0
1.78,51.95,606.27,1570.11,85.36,5.24,0
1.59,45.48,521.14,1638.18,66.88,3.62,0
2.24,39.14,569.59,1649.22,92.69,4.96,0
1.0,54.55,523.86,1167.08,70.09,8.04,0
2.27,48.49,515.8,1626.99,78.67,0.22,0
2.38,45.34,582.71,1244.19,80.69,6.05,0
1.62,65.73,632.53,1309.48,86.53,5.82,0
1.32,47.96,417.65,1137.89,80.2,4.44,0
2.66,53.86,526.78,1690.84,62.32,6.21,0
1.07,38.51,472.75,1358.83,82.94,3.95,0
2.91,56.66,465.94,1185.19,81.63,2.95,0
1.32,38.49,384.65,1419.13,73.73,6.51,0
1.63,52.41,450.35,1392.34,75.08,6.7,0
2.2,47.03,592.82,1309.13,81.81,4.68,0
2.6,54.63,550.01,1711.14,94.62,4.43,0
2.15,24.7,564.45,1485.43,65.06,4.59,0
2.18,54.79,359.99,1238.94,77.48,6.68,0
1.94,49.18,451.72,1490.38,76.9,3.61,0
0.46,53.48,321.88,1417.63,88.81,4.85,0
2.88,51.81,543.45,1503.07,75.66,6.13,0
2.04,45.44,461.43,1094.88,97.87,4.84,0
1.9,37.04,366.54,1427.6,60.74,3.82,0
1.98,45.13,276.95,1273.34,85.41,5.69,0
1.59,46.48,604.01,1391.86,86.73,4.26,0
3.27,45.13,674.81,1544.98,70.67,2.69,0
3.08,39.58,427.18,1405.33,72.34,4.32,0
3.51,37.97,508.28,1465.4,86.11,4.54,0
2.38,43.5,479.44,1430.89,94.94,6.22,0
1.37,58.75,558.73,1417.0,60.74,5.37,0
3.82,55.58,462.67,1467.57,64.7,2.16,0
2.38,49.38,598.27,1318.38,107.68,4.4,0
2.58,47.59,623.0,1440.44,69.04,3.98,0
3.97,50.34,443.84,1356.66,76.24,6.1,0
3.96,45.09,454.02,1551.27,82.19,5.07,0
1.85,39.13,444.69,1173.96,73.44,3.4,0
1.1,34.51,612.24,1628.69,66.85,5.5,0
2.22,48.23,653.45,1230.92,75.65,5.8,0
1.96,42.53,280.87,1701.57,96.77,0.95,0
2.52,47.94,609.65,1378.47,71.93,3.72,0
3.2,48.04,485.67,1579.79,63.24,8.06,0
0.58,44.84,370.94,1457.96,93.3,4.37,0
1.52,65.63,447.79,1498.38,96.1,5.5,0
2.32,44.08,431.86,1107.13,55.13,3.64,0
0.76,67.39,450.5,1552.26,76.25,4.19,0
1.65,58.85,543.22,1310.14,94.14,6.26,0
1.61,56.26,365.99,1214.29,95.37,5.11,0
1.67,29.0,398.55,1633.59,64.7,7.84,0
2.27,53.68,439.2,1690.8,69.92,6.47,0
2.2,36.01,523.29,1302.65,83.47,7.74,0
2.05,59.79,450.24,1594.38,95.69,8.7,0
1.15,50.85,614.97,1266.07,72.12,2.67,0
2.38,41.92,529.66,1779.5,86.57,5.21,0
1.88,65.32,636.01,1370.22,61.92,6.08,0
2.07,41.82,807.69,1245.38,70.6,2.32,0
1.66,51.24,596.78,1332.61,75.42,5.58,0
2.3,46.49,514.69,1276.46,79.11,7.77,0
1.26,41.7,626.77,1565.12,94.34,5.5,0
3.24,55.23,528.87,1449.74,66.23,2.86,0
2.46,51.45,519.09,1496.57,62.91,4.45,0
1.37,54.18,384.29,1613.43,76.57,6.37,0
1.36,60.45,331.53,1509.92,79.34,4.09,0
0.02,52.49,492.41,1620.61,78.29,5.22,0
3.15,60.24,364.94,1454.9,83.34,5.06,0
2.42,70.12,431.3,1366.48,77.84,4.04,0
1.1,60.91,417.39,1206.18,76.12,3.97,0
2.67,53.87,452.42,1757.31,79.05,4.84,0
1.72,45.15,563.6,1277.04,88.87,7.51,0
1.67,54.63,398.22,1539.63,78.11,4.95,0
1.27,43.22,522.32,1458.77,67.05,2.28,0
2.92,58.54,560.38,1553.04,75.87,5.11,0
0.82,65.54,567.09,1742.97,71.0,6.17,0
3.12,61.94,555.19,1586.89,68.12,8.38,0
2.47,45.36,306.32,1441.05,79.36,5.07,0
0.23,44.69,499.02,1191.1,92.02,1.64,0
2.66,69.87,393.58,1471.45,73.83,2.78,0
1.82,41.2,487.6,1498.7,85.33,4.49,0
2.26,55.63,443.06,1607.51,92.13,5.48,0
3.34,66.85,378.07,1509.85,70.76,1.41,0
2.01,62.31,417.79,1595.17,65.49,3.47,0
1.31,54.21,364.75,1355.46,93.43,5.6,0
0.5,42.58,522.75,1259.27,82.47,2.42,0
3.75,54.62,423.86,1194.75,75.45,2.83,0
1.19,63.41,660.95,1436.07,61.57,8.44,0
1.55,47.48,509.99,1478.17,81.87,3.99,0
1.67,50.04,452.58,1366.73,62.95,6.3,0
2.96,69.63,563.25,1569.7,68.79,4.55,0
1.74,64.82,547.54,1221.65,77.17,5.19,0
2.08,44.02,548.07,1331.92,80.52,2.91,0
3.66,44.94,637.39,1387.92,75.24,3.82,0
1.6,64.22,649.67,1480.5,87.8,4.58,0
2.23,69.54,599.38,1564.96,96.64,7.66,0
2.55,47.69,552.32,1680.87,68.37,5.88,0
2.5,30.8,477.06,1254.28,94.93,6.95,0
2.63,49.55,496.54,1554.27,82.97,2.83,0
2.93,46.13,360.73,1313.45,76.37,2.96,0
1.03,58.6,661.63,1431.02,64.55,6.8,0
2.54,60.35,476.89,1406.43,66.34,5.49,0
1.42,31.54,639.32,1610.88,90.58,3.79,0
2.17,40.7,583.93,1664.31,80.82,6.15,0
3.67,42.33,638.9,1700.93,77.72,5.63,0
1.35,69.93,477.43,1097.43,82.57,6.31,0
2.48,67.19,512.86,1313.96,78.6,5.11,0
1.9,56.93,216.77,1634.61,77.0,6.94,0
2.26,36.61,298.27,1407.68,89.53,7.19,0
1.99,49.86,475.14,1516.25,76.09,1.85,0
2.02,57.22,208.57,1659.88,90.51,5.98,0
2.04,35.03,587.28,1665.15,62.32,1.66,0
2.65,36.19,583.78,1358.91,74.54,4.23,0
2.66,42.14,538.64,1583.51,70.62,5.07,0
2.88,73.64,446.07,1381.92,67.89,6.93,0
1.83,60.73,345.51,1436.72,82.38,3.3,0
1.48,43.5,403.38,1492.71,76.99,6.98,0
1.84,47.91,542.53,1553.11,85.6,2.32,0
2.44,56.83,609.61,1285.16,83.33,4.61,0
1.53,50.38,426.7,1280.18,81.85,3.91,0
3.02,42.37,433.28,1596.46,78.01,6.04,0
2.09,58.87,626.15,1386.82,78.53,1.25,0
2.2,46.69,443.44,1319.81,79.01,2.35,0
2.61,64.48,436.24,1288.07,73.37,5.15,0
1.83,36.78,503.56,1384.64,75.55,6.82,0
1.43,36.49,414.38,1424.07,95.25,2.45,0
0.87,62.45,666.54,1448.16,73.86,5.68,0
1.38,46.4,521.67,1599.56,82.08,4.65,0
1.81,36.74,469.66,1619.1,81.33,3.51,0
1.61,45.87,478.11,1280.52,63.97,2.34,0
2.07,52.6,576.62,1326.42,61.85,7.62,0
3.85,40.36,395.98,1628.66,82.96,6.11,0
0.51,40.43,694.52,1427.97,81.35,1.75,0
1.62,39.15,571.84,1562.39,77.75,7.37,0
2.55,53.44,317.89,1117.03,75.74,6.53,0
1.98,58.69,535.63,1552.67,70.12,6.36,0
2.19,59.68,471.68,1725.08,93.69,7.94,0
1.34,55.71,648.2,1748.81,76.93,2.67,0
1.55,53.4,419.77,1368.46,77.77,4.63,0
2.33,57.9,524.61,1449.64,86.26,3.92,0
0.71,49.51,440.23,1240.05,63.43,6.84,0
1.62,50.33,537.02,1412.59,84.71,5.25,0
2.05,47.7,489.95,1387.99,82.78,5.43,0
2.78,37.43,570.34,1236.41,88.17,5.36,0
1.14,40.76,494.26,1454.86,71.53,2.17,0
1.46,64.44,562.34,1133.97,93.29,7.33,0
1.28,43.1,562.66,1234.94,94.79,5.79,0
1.8,34.69,481.17,1299.8,75.76,7.54,0
2.16,48.69,472.25,1501.92,97.63,3.89,0
2.37,46.3,515.81,1092.26,84.34,5.39,0
1.21,52.25,499.19,1158.76,78.47,3.69,0
2.01,48.26,282.84,1504.86,82.82,5.15,0
2.93,49.76,554.58,1410.32,77.77,2.77,0
0.85,39.8,519.62,1335.05,71.8,1.76,0
3.15,55.65,438.64,1584.13,71.2,3.6,0
2.1,46.66,392.02,1423.07,86.84,5.82,0
3.41,58.11,645.21,1293.27,79.32,4.63,0
2.32,38.52,501.41,1717.59,77.37,9.34,0
3.31,55.72,602.15,1306.81,87.34,4.4,0
1.0,55.14,619.31,1311.67,72.34,4.35,0
1.48,58.3,377.08,1416.48,78.72,3.82,0
-0.59,47.71,499.4,1214.8,70.23,1.42,0
2.73,65.38,470.08,1317.42,85.31,1.66,0
1.95,61.7,401.55,1391.04,82.14,3.75,0
3.7,38.77,580.89,1472.09,70.64,5.77,0
1.26,60.47,520.95,1193.41,78.83,2.64,0
2.83,40.82,441.55,1347.93,69.24,5.0,0
0.78,60.18,425.06,1542.24,68.77,6.65,0
2.36,53.91,443.36,1890.31,69.42,3.86,0
1.43,53.41,682.05,1499.79,83.04,3.65,0
1.61,52.71,477.85,1526.45,100.46,3.51,0
3.01,55.51,382.3,1571.76,85.3,3.32,0
1.37,42.78,392.98,1535.24,58.44,3.99,0
2.49,37.62,577.18,1410.16,83.47,5.47,0
3.72,49.17,492.06,1155.51,84.63,3.24,0
1.55,57.43,672.62,1451.32,98.42,3.02,0
1.34,50.76,454.64,1630.29,94.15,5.74,0
0.38,40.78,399.44,1607.26,77.24,4.77,0
2.25,52.39,216.25,1498.61,102.41,5.37,0
2.72,44.2,614.6,1580.82,70.11,2.39,0
1.45,64.87,469.04,1573.31,79.51,6.23,0
2.29,56.82,505.59,1285.47,86.27,3.81,0
1.53,49.33,644.19,1117.36,80.22,4.88,0
1.61,41.68,298.01,1455.03,81.77,5.66,0
2.68,50.69,565.54,1578.98,73.52,3.51,0
2.25,54.82,565.23,1516.35,96.01,4.85,0
1.91,51.77,671.9,1612.96,76.29,2.73,0
1.5,43.09,416.11,1355.62,81.27,8.21,0
2.22,42.16,568.64,1697.59,69.96,-0.89,0
2.4,44.53,410.37,1500.01,89.81,4.55,0
1.04,66.73,579.19,1375.13,97.38,4.99,0
3.27,37.08,663.51,1494.58,69.12,6.08,0
2.53,63.81,593.75,1420.68,83.93,8.46,0
1.73,63.4,442.94,1629.58,84.29,6.72,0
1.69,33.93,631.02,1473.71,88.26,8.12,0
2.06,45.63,542.18,1759.63,62.85,2.65,0
1.52,58.26,629.13,1523.8,74.92,2.88,0
2.41,47.65,501.93,1435.49,88.97,8.35,0
1.0,36.34,406.44,1468.64,89.44,4.15,0
2.31,52.61,408.72,1566.54,79.81,5.48,0
1.8,49.47,500.16,1513.37,84.01,4.85,0
3.4,53.89,549.58,1458.25,80.38,4.46,0
2.05,67.59,570.15,1228.82,91.52,4.23,0
2.94,52.81,363.5,1443.81,65.18,6.28,0
2.12,51.43,534.41,1315.41,66.5,7.36,0
1.4,38.88,595.78,1369.18,73.1,7.22,0
2.27,76.21,529.09,1343.87,62.55,6.01,0
3.02,49.5,547.34,1517.47,76.65,6.16,0
2.05,32.24,534.83,1352.06,94.2,6.58,0
2.57,50.38,381.1,1601.63,84.22,6.99,0
2.52,60.96,660.43,1394.92,84.56,6.72,0
2.1,58.58,659.27,1355.01,78.07,5.97,0
1.09,54.09,410.22,1367.53,85.92,4.43,0
2.29,39.71,451.23,1402.71,72.93,2.64,0
2.5,45.92,182.96,1327.77,65.16,4.91,0
1.64,41.05,491.91,1477.04,76.98,7.73,0
2.45,36.47,607.43,1490.21,87.2,5.87,0
2.0,40.75,502.62,1340.66,84.03,3.67,0
1.52,50.86,551.8,1443.36,82.96,2.1,0
2.87,34.78,549.64,1557.28,79.3,7.22,0
2.99,59.24,511.18,1205.9,79.93,4.92,0
1.91,53.28,572.28,1404.88,87.74,5.97,0
3.08,50.03,618.43,1339.98,93.47,8.55,0
3.2,58.48,446.52,1610.32,100.55,4.81,0
0.96,43.76,400.56,1145.15,93.76,7.59,0
1.14,54.92,341.64,1579.64,82.65,4.19,0
1.93,38.1,538.42,1342.42,83.02,5.45,0
1.82,28.47,478.59,1342.0,88.84,6.89,0
0.35,43.65,567.19,1514.85,78.58,4.29,0
1.97,56.2,566.88,1355.37,96.06,7.28,0
2.57,60.97,537.94,1311.39,66.34,5.39,0
2.31,31.23,373.0,1488.61,78.93,4.57,0
0.64,62.0,433.46,1712.64,69.34,5.33,0
0.9,52.11,628.09,1834.08,68.45,5.08,0
3.3,43.93,350.27,1286.74,76.64,2.37,0
2.06,27.53,529.5,1257.1,95.43,5.36,0
0.63,23.64,738.84,1532.65,80.33,1.17,0
2.57,50.58,459.31,1624.51,94.9,4.71,0
1.78,49.57,476.41,1347.02,64.02,5.39,0
0.37,45.43,474.37,1650.9,74.79,3.82,0
1.94,41.37,526.56,1417.76,83.36,4.64,0
1.32,56.93,565.78,1507.86,85.16,6.25,0
0.59,49.36,509.78,1316.41,87.25,5.02,0
0.79,46.08,493.05,1555.4,67.55,6.61,0
1.64,60.6,381.3,1486.13,76.17,4.81,0
2.55,47.97,391.39,1396.3,85.73,8.0,0
2.69,56.17,605.78,1350.15,73.94,6.56,0
2.17,56.84,441.09,1505.35,75.13,3.81,0
2.42,51.75,476.87,1354.57,87.65,7.65,0
2.02,54.74,491.73,1281.94,83.42,6.79,0
1.38,38.69,451.71,1300.96,91.48,4.77,0
5.08,62.36,444.9,1345.73,86.69,4.84,0
2.46,48.44,516.8,1520.97,98.69,5.41,0
2.01,56.07,404.99,1521.44,89.8,6.93,0
2.18,54.2,420.39,1463.81,77.97,2.46,0
1.68,54.83,566.54,1515.57,68.44,5.38,0
2.55,59.22,396.29,1816.18,78.45,9.54,0
2.32,46.86,430.05,1322.37,60.58,9.72,0
1.91,53.67,647.1,1730.66,84.99,1.11,0
2.91,44.52,594.52,1344.56,72.46,4.74,0
3.23,79.85,442.36,1365.24,90.73,3.06,0
2.41,38.83,494.69,1186.68,75.01,4.89,0
1.34,41.49,525.13,1411.3,88.01,8.61,0
2.76,51.6,550.08,1414.33,63.35,4.73,0
2.52,55.02,412.15,1519.96,59.98,3.45,0
2.26,47.7,586.14,1363.28,73.15,6.31,0
1.77,27.81,610.58,1184.43,95.88,4.66,0
1.99,50.86,569.28,1589.21,91.67,4.19,0
1.75,61.17,574.25,1528.1,78.5,6.88,0
1.98,48.75,582.28,1507.9,79.81,2.92,0
1.87,47.45,394.49,1466.36,61.87,0.04,0
2.69,55.49,548.03,1277.2,78.45,2.55,0
3.18,55.47,336.87,1337.39,88.92,4.18,0
1.39,74.27,557.74,1448.27,80.47,4.07,0
2.84,61.13,707.51,1442.33,77.13,6.51,0
0.9,43.71,618.01,1452.42,84.35,7.17,0
2.94,41.32,508.13,1247.91,79.71,4.31,0
3.47,53.9,535.7,1381.72,68.2,3.77,0
0.94,68.71,540.96,1247.51,84.89,4.44,0
2.39,31.2,559.25,1549.99,77.6,4.44,0
1.28,34.14,439.16,1511.36,79.88,4.68,0
1.54,70.88,496.13,1251.65,73.21,1.55,0
2.76,60.21,595.53,1371.02,82.95,6.65,0
3.5,44.35,451.59,1329.1,90.72,6.1,0
2.27,36.22,640.69,1614.22,75.63,7.01,0
2.12,54.33,487.13,1604.6,86.95,2.92,0
2.7,58.95,558.74,1333.09,79.86,3.72,0
1.58,46.92,557.8,1488.51,88.81,4.22,0
2.41,44.64,361.21,1372.61,76.56,4.07,0
1.33,42.9,400.71,1326.13,81.89,-1.75,0
2.15,59.18,627.26,1406.1,72.65,6.87,0
2.7,59.76,551.02,1472.71,62.99,5.52,0
1.39,47.05,480.18,1704.03,70.23,6.02,0
2.41,32.93,576.39,1311.19,81.21,3.53,0
3.72,45.83,480.91,1453.35,77.86,6.32,0
2.77,40.81,552.69,1191.13,81.49,4.35,0
3.16,55.56,595.13,1454.82,54.79,2.63,0
2.4,40.74,524.31,1336.77,67.02,5.67,0
1.97,40.48,413.07,1282.31,58.73,6.95,0
0.43,50.19,467.59,1471.65,84.46,3.63,0
2.13,55.57,579.46,1521.2,65.08,6.02,0
2.31,68.88,501.6,1486.74,82.75,-0.93,0
1.1,45.86,490.8,1381.68,65.91,8.02,0
2.54,41.4,292.54,1432.35,75.65,4.94,0
1.96,30.92,527.3,1545.3,85.84,5.73,0
1.83,48.45,386.98,1178.61,90.44,6.22,0
2.79,53.34,481.59,1503.3,81.21,4.58,0
1.2,37.58,791.82,1636.51,95.91,4.5,0
3.24,52.58,513.74,1310.77,82.72,4.9,0
2.19,50.77,498.91,1680.88,80.32,5.36,0
0.94,43.59,559.14,1044.5,84.24,3.9,0
2.23,54.86,449.64,1626.74,78.38,7.29,0
1.39,47.88,447.08,1158.02,74.92,5.74,0
2.16,54.88,568.02,1500.9,63.95,3.81,0
2.59,68.04,530.74,1397.78,68.76,2.44,0
1.2,50.72,551.81,1483.59,61.42,9.85,0
2.14,48.09,417.54,1438.76,81.03,2.75,0
0.92,65.16,727.58,1382.46,84.12,7.99,0
1.77,74.12,532.56,1304.16,79.06,8.61,0
1.66,38.7,574.66,1292.47,73.15,10.02,0
3.26,48.77,487.57,1603.25,94.34,3.52,0
3.16,40.4,512.35,993.3,67.5,1.35,0
1.64,33.45,590.8,1518.44,85.37,9.35,0
1.71,52.89,459.25,1500.85,82.59,3.06,0
2.38,21.68,314.7,1189.33,87.27,7.19,0
2.27,54.49,521.38,1256.86,87.27,3.92,0
2.23,51.9,463.11,1326.68,78.79,6.69,0
1.69,46.11,304.5,1297.31,89.91,3.49,0
1.55,70.9,435.44,1507.21,68.26,4.32,0
1.51,31.3,604.04,1382.3,98.48,5.2,0
3.44,61.54,536.75,1313.55,69.75,3.74,0
3.24,45.89,479.94,1577.74,81.76,8.1,0
0.79,45.37,455.37,1511.79,93.23,3.82,0
1.99,70.24,475.09,1335.76,79.33,3.88,0
2.16,62.0,521.87,1360.05,77.32,3.24,0
2.51,55.52,501.57,1631.6,96.65,4.1,0
1.56,45.49,487.51,1452.71,80.66,6.04,0
3.84,57.32,603.39,1381.5,79.04,4.67,0
1.33,34.81,369.84,1444.51,92.43,7.93,0
1.15,36.37,332.71,1404.1,91.94,4.5,0
1.54,60.38,680.14,1495.21,67.91,3.62,0
3.14,44.16,554.97,1486.27,70.74,0.75,0
2.95,36.03,400.48,1659.32,83.92,8.36,0
1.49,37.13,458.54,1805.39,75.67,5.53,0
1.56,63.26,372.64,1558.67,79.55,4.4,0
1.02,43.38,571.59,1344.44,89.02,4.53,0
1.58,45.29,387.19,1378.95,82.69,6.97,0
1.49,60.83,423.39,1243.65,75.2,5.42,0
3.96,34.53,484.94,1511.22,91.95,4.87,0
0.67,33.7,508.11,1324.86,100.27,3.06,0
2.02,61.36,341.76,1437.61,88.27,3.82,0
2.26,37.5,325.78,1536.84,85.11,3.27,0
1.69,56.05,445.4,1519.01,82.02,6.39,0
2.55,47.63,441.05,1439.92,78.91,10.05,0
1.97,59.32,667.34,1291.79,81.14,1.73,0
2.84,67.47,551.94,1344.41,65.8,6.73,0
1.14,40.51,486.58,1665.46,95.43,5.03,0
0.98,65.21,359.58,1416.13,73.63,7.59,0
2.22,54.67,496.01,1585.74,77.18,9.67,0
2.17,57.77,753.94,1485.42,71.7,2.68,0
2.49,45.48,513.53,1638.3,78.8,4.23,0
2.34,62.06,451.94,1192.35,88.63,6.13,0
2.02,38.94,581.68,1565.5,78.96,4.76,0
1.94,48.13,392.63,1477.45,60.21,4.38,0
2.37,20.09,504.61,1461.77,73.88,3.11,0
2.82,45.3,599.44,1347.15,79.65,3.37,0
2.86,38.52,520.17,1351.51,80.23,7.17,0
2.45,53.24,540.02,1427.93,88.69,6.11,0
2.75,52.66,564.6,1573.04,89.06,3.46,0
2.49,48.09,507.81,1653.89,81.15,5.93,0
1.33,45.63,262.83,1307.36,103.46,5.64,0
1.75,49.34,704.21,1554.39,66.0,2.37,0
2.14,59.97,602.88,1747.55,82.92,4.74,0
2.5,46.08,506.81,1817.86,77.5,3.56,0
2.78,47.53,422.35,1296.51,68.2,3.93,0
1.65,49.31,584.38,1353.74,84.16,10.2,0
3.13,62.72,553.64,1372.76,79.59,7.65,0
1.59,52.64,442.59,1350.85,83.81,4.37,0
2.85,52.0,434.1,1618.22,77.99,6.82,0
2.07,55.43,430.76,1342.67,90.45,5.43,0
2.71,41.54,572.89,1291.18,80.52,6.81,0
1.91,57.2,527.66,1394.71,63.13,3.34,0
0.81,51.06,505.02,1387.16,72.68,5.06,0
1.76,37.07,619.55,1571.06,88.31,6.18,0
2.83,59.11,341.78,1468.34,87.78,4.27,0
0.82,40.44,440.34,1617.95,88.72,4.24,0
2.16,69.87,545.36,1303.26,82.3,3.17,0
3.16,36.32,539.26,1356.11,73.74,5.96,0
2.53,44.9,408.2,1314.93,75.96,4.8,0
1.85,30.88,543.6,1006.86,78.26,6.33,0
1.28,52.7,509.78,1447.67,87.4,3.5,0
1.63,64.84,447.44,1399.1,68.79,7.54,0
3.0,31.79,514.96,1579.52,76.18,2.44,0
1.62,44.3,498.57,1607.09,74.47,5.45,0
2.18,53.53,472.63,1611.28,72.0,3.39,0
1.75,47.41,431.64,1291.53,62.61,2.84,0
1.65,62.23,568.92,1637.46,94.34,3.91,0
1.63,39.43,493.04,1444.13,80.8,5.2,0
2.08,44.71,474.24,1745.04,70.28,2.79,0
1.59,43.91,456.38,1655.21,77.49,5.97,0
1.56,31.82,403.42,1607.83,76.24,2.94,0
1.92,60.71,541.75,1604.38,82.69,4.77,0
2.52,66.49,527.24,1279.87,64.67,4.78,0
2.7,58.56,422.1,1448.43,65.91,4.77,0
0.98,42.93,625.25,1385.75,94.66,4.96,0
1.55,55.8,702.26,1412.82,76.61,5.27,0
2.02,54.95,512.94,1677.31,80.55,9.24,0
0.99,45.91,317.03,1283.15,88.53,7.05,0
2.57,55.84,426.13,1313.26,87.53,8.91,0
1.18,60.42,458.75,1567.3,63.9,4.32,0
2.35,41.36,418.23,1793.32,84.05,3.45,0
0.24,54.2,351.7,1510.0,52.55,4.61,0
0.84,49.06,453.32,1415.96,75.11,6.87,0
3.48,42.7,619.11,1180.88,91.49,6.75,0
1.95,51.44,542.39,1627.0,76.19,6.06,0
3.25,30.49,581.94,1168.75,101.56,4.0,0
1.7,38.73,603.72,1641.2,60.96,3.76,0
1.55,49.43,440.02,1393.67,70.14,6.06,0
0.78,53.1,498.67,1699.84,81.03,3.61,0
2.96,48.14,597.21,1334.17,84.7,7.87,0
1.44,38.83,565.44,1422.39,93.91,2.4,0
2.11,30.33,575.09,1433.52,85.71,4.28,0
1.18,51.4,415.76,1536.11,71.97,2.99,0
3.03,51.54,475.6,1526.39,80.44,7.06,0
2.16,47.51,583.78,1654.83,76.64,8.49,0
1.64,52.34,517.99,1507.2,74.25,3.31,0
2.89,52.51,578.34,1494.09,75.49,7.47,0
3.44,63.18,636.34,1377.41,84.34,2.92,0
3.15,57.4,541.58,1675.41,95.25,6.45,0
1.93,48.61,661.88,1182.91,88.57,4.86,0
1.82,36.93,379.22,1603.29,95.8,2.63,0
2.16,54.91,602.69,1463.68,81.9,1.52,0
0.72,43.7,415.03,1399.07,90.57,6.64,0
3.06,43.88,565.91,1868.83,92.69,6.64,0
2.51,45.16,435.89,1714.74,58.02,5.14,0
2.36,66.55,507.9,1544.63,76.76,5.48,0
2.46,60.49,422.41,1222.93,85.7,5.83,0
2.37,42.44,373.72,1441.31,79.62,8.46,0
1.92,48.03,553.07,1547.04,62.58,8.97,0
2.15,55.53,620.26,1471.36,87.34,3.53,0
0.69,45.35,433.66,1347.33,75.45,5.46,0
1.86,50.44,503.76,1250.83,77.41,6.31,0
3.16,37.91,569.89,1311.35,91.36,4.48,0
1.0,46.99,380.03,1519.19,92.52,3.15,0
2.28,47.17,758.79,1236.57,76.88,7.95,0
1.81,38.38,629.08,1455.96,88.77,6.29,0
3.33,32.54,468.53,1406.72,75.03,1.95,0
1.96,54.51,366.41,1480.36,59.41,5.6,0
1.45,55.72,445.21,1274.36,85.81,-1.07,0
0.78,37.07,609.21,1401.02,84.08,5.84,0
1.14,53.61,418.14,1530.96,64.26,6.22,0
1.61,44.13,514.95,1608.93,89.54,8.9,0
3.11,67.35,536.04,1520.57,88.2,3.99,0
2.94,42.16,539.93,1163.62,74.03,4.06,0
2.85,47.11,482.47,1390.98,64.74,7.97,0
2.41,42.91,392.15,1458.73,92.32,8.52,0
2.66,36.28,510.72,1481.33,88.09,3.86,0
2.61,37.42,590.05,1238.95,77.79,4.98,0
1.71,46.64,449.4,1379.6,84.42,-0.6,0
2.43,54.66,459.82,1648.15,68.75,6.02,0
2.47,61.59,615.98,1709.19,68.11,7.23,0
3.48,29.5,582.72,1564.63,71.81,6.01,0
2.55,57.15,738.17,1605.7,70.78,7.37,0
2.84,52.24,577.08,1366.71,101.72,5.16,0
3.26,41.89,440.45,1415.8,57.97,3.85,0
4.02,56.1,466.92,1336.05,90.3,3.02,0
1.63,59.87,568.14,1466.2,69.11,3.57,0
1.63,49.24,384.63,1314.0,85.61,5.45,0
2.18,51.7,466.31,1415.34,91.91,4.27,0
1.59,46.57,602.94,1495.92,98.48,5.03,0
2.19,46.8,575.47,1593.7,85.63,4.8,0
1.97,50.59,315.34,1646.67,82.08,0.88,0
0.47,51.52,519.94,1549.53,78.62,5.43,0
